filename	source_id	subject	make	model	mode	megapixels	source_remark	source_added	bytes	sha256	source_filename	source_url	license	license_url
23-panasonic-lx100-ii-carousel-crowd.RW2	pixls-34856-p1	carousel and pedestrians	Panasonic	DC-LX100M2	12bit Panasonic RAW 1	16.8	people; daytime; CC0 declared by photographer in topic post 1	2023-01-20	20382208	6c53ccff8f1f28fcad45f5ca97b83e9240d3118985ff13f2261eb7e538d3341e	20221227_0094.RW2	https://discuss.pixls.us/t/enter-the-carousel-and-go-round/34856	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
24-nikon-d7000-parade-men.NEF	pixls-31113-p12	costumed parade performers	Nikon	D7000	14bit compressed	16.4	people; daytime; CC0 declared by photographer in topic post 12	2022-06-06	18768892	5317f4ae4abbd265534900db5b9bfd5431b4fab743f9c7971d02d3fe6aa39319	2022-04-25_16-55-25_DSC_0524.NEF	https://discuss.pixls.us/t/filmic-v6-loss-of-contrast/31113/12	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
25-sony-a7-iv-outdoor-bar-evening.ARW	pixls-46114-p17	outdoor bar crowd	Sony	ILCE-7M4	14bit compressed	36.7	people; night/evening; captured 22:25; CC0 declared by photographer in topic post 17	2024-10-21	49055116	970a4be9a5057b7a0d205aa3f907a5acf8642ab23dc6625a253f72c2e821b559	ASC00292.ARW	https://discuss.pixls.us/t/how-to-denoise-in-darktable-to-be-better-than-with-captureone/46114/17	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
26-nikon-d40-neon-bartenders-night.NEF	1S-kQIgUYNznbtU0h9ACxZ4aHgQVRf_1B	bartenders under neon lighting	Nikon	D40	12bit compressed	6.1	people; environmental portrait; night; captured 23:33; source and embedded metadata say Public Domain	2022-01-11	6189142	3742d4d14a044495333ba804d8c004cadf2846d47ec489a96e06148ae6dae97a	Bar and bottles.NEF	https://discuss.pixls.us/t/highlight-recovery-test-set/28801	Public Domain - photographer dedication	https://discuss.pixls.us/t/highlight-recovery-test-set/28801
27-nikon-d40-singer-stage-night.NEF	1tqVexHROgiO9Nr36fZsWrMQ3Oww4M681	singer on stage	Nikon	D40	12bit compressed	6.1	people; portrait; night; captured 21:52; source and embedded metadata say Public Domain	2022-01-11	5314524	155b8cf5b7259b7c463a588ae982e50b7bed609732d38ef1a3e44bc19dc501d2	Singer.NEF	https://discuss.pixls.us/t/highlight-recovery-test-set/28801	Public Domain - photographer dedication	https://discuss.pixls.us/t/highlight-recovery-test-set/28801
28-nikon-d40-performer-portrait-evening.NEF	1PINoKQjnU_dRiWkNUUr1yLa8LbZqfJlW	costumed performer portrait	Nikon	D40	12bit compressed	6.1	people; portrait; evening; captured 20:47; source and embedded metadata say Public Domain	2022-01-11	5911760	9cacd164841702b55e8a9b95675b92bf5e996378a3bf11e11e404501e07ca692	Big wig model.NEF	https://discuss.pixls.us/t/highlight-recovery-test-set/28801	Public Domain - photographer dedication	https://discuss.pixls.us/t/highlight-recovery-test-set/28801
29-nikon-d40-guitarist-stage-night.NEF	1vNT25OvYzRICEkxC2VCXN7aTEypq0DYJ	guitarist on stage	Nikon	D40	12bit compressed	6.1	people; night; captured 22:11; source and embedded metadata say Public Domain	2022-01-11	6263198	b7e6c0e2c548a33b5842e3f25ba71fe3421235714c89f6bc496baab4287cf974	Guitarist pose.NEF	https://discuss.pixls.us/t/highlight-recovery-test-set/28801	Public Domain - photographer dedication	https://discuss.pixls.us/t/highlight-recovery-test-set/28801
30-nikon-d90-busker-in-shadow.NEF	1WEhZWsD-no05My1ykpa6gZHVRVxovywm	busker in deep shade	Nikon	D90	12bit compressed	12.5	people; daytime; source and embedded metadata say Public Domain	2022-01-11	10255876	b586bdcb3dfe2a202b03d23de8b9be14b09960982ce7761811ae58a259ceb735	Busker in Shadow.NEF	https://discuss.pixls.us/t/highlight-recovery-test-set/28801	Public Domain - photographer dedication	https://discuss.pixls.us/t/highlight-recovery-test-set/28801
31-nikon-d7100-woman-natural-light-portrait.NEF	oneraw-01-wesaturate	woman in natural-light portrait	Nikon	D7100	14bit compressed	15.5	people; close portrait; well-lit natural skin; One Raw identifies the source as Wesaturate; no model release located	2017-07	20236472	c00ff1aa7737d6fc2ec8af2e8decc4598d31b85089d5739ad286786ea6fbbec3	oneraw01.nef	https://www.oneraw.co.uk/01/	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
32-nikon-d300-derrick-coetzee-close-portrait.NEF	commonsarchive-85	Derrick Coetzee close portrait	Nikon	D300	14bit compressed	12.5	people; tight head-and-shoulders portrait; well-lit skin; embedded Copyright says all rights waived under CC0; RAW preserved in the 2022-08-07 Commons Archive snapshot; no model release located	2012-04-04	14681539	5f42b275d092e21375e23e3a615732d710600beec785e228e021d84372c3574e	Derrick_Coetzee_in_hat_and_necklace.nef	https://commons.wikimedia.org/wiki/File:Derrick_Coetzee_in_hat_and_necklace.jpg	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
33-nikon-d300-james-goodman-office-portrait.NEF	commonsarchive-101	James R. Goodman office portrait	Nikon	D300	14bit compressed	12.5	people; head-and-shoulders office portrait; soft well-lit skin; RAW description page explicitly declares CC0; RAW preserved in the 2022-08-07 Commons Archive snapshot; no model release located	2012-09-18	15189284	1d584b6ef01b115dbffc09ac509634493e662e318c5238179d396c059cc53906	James_R._Goodman.nef	https://commons.wikimedia.org/wiki/File:James_R._Goodman.jpg	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
34-nikon-d300-ren-ng-formal-portrait.NEF	commonsarchive-163	Ren Ng formal portrait with Lytro camera	Nikon	D300	14bit compressed	12.5	people; formal portrait; well-lit skin with fill flash; embedded Copyright says all rights waived under CC0; RAW preserved in the 2022-08-07 Commons Archive snapshot; no model release located	2012-04-14	13612413	d730e7d5a870a26cb45a8a4ce835651acc9d5c48d92d3536d50bfb8a2197c503	Ren_Ng_with_Lytro_light_field_camera.nef	https://commons.wikimedia.org/wiki/File:Ren_Ng_with_Lytro_light_field_camera.jpg	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
35-nikon-d300-palm-sunday-vendor-portrait.NEF	commonsarchive-97	Palm Sunday street vendor portrait	Nikon	D300	14bit uncompressed	12.5	people; environmental portrait; well-lit skin; embedded Copyright says Creative Commons CC0 1.0 Universal Public Domain; RAW preserved in the 2022-08-07 Commons Archive snapshot; no model release located	2013-05-31	26493920	552f8ab567bba9df021b0d66382e37ca167688409cbbbe9413b6a844a1280cf6	Girl_selling_for_Palm_Sunday.NEF	https://commons.wikimedia.org/wiki/File:Girl_selling_Palm_Sunday_palms_and_devotional_cards_in_Maracaibo,_Venezuela.jpg	Creative Commons Zero 1.0 - Public Domain	https://creativecommons.org/publicdomain/zero/1.0/
